256
2

2.81	0.51
0.51	2.91

2.63	0.18
0.18	2.54

2.95	0.555
0.555	2.97

2.95	0.64
0.64	2.14

2.42	0.85
0.85	2.95

2.65	0.435
0.435	2.93

2.67	0.745
0.745	2.39

2.65	0.435
0.435	2.03

2.27	0.065
0.065	2.82

2.69	0.63
0.63	2.03

2.43	0.57
0.57	2.79

2.18	0.46
0.46	2.64

2.7	0.51
0.51	2.67

2.65	0.135
0.135	2.49

2.95	0.46
0.46	2.22

2.75	0.375
0.375	2.69

2.89	0.745
0.745	2.13

2.14	0.545
0.545	2.25

2.81	0.58
0.58	2.34

2.19	0.43
0.43	2.47

2.35	0.705
0.705	2.54

2.91	0.515
0.515	2.75

2.38	0.315
0.315	2.05

2.53	0.85
0.85	2.12

2.56	0.235
0.235	2.33

2.16	0.55
0.55	2.52

2.16	0.43
0.43	2.65

2.68	0.595
0.595	2.08

2.22	0.53
0.53	2.82

2.53	0.53
0.53	2.44

2.1	0.48
0.48	2.77

2.81	0.47
0.47	2.39

2.25	0.615
0.615	2.91

2.18	0.2
0.2	2.13

2.86	0.555
0.555	2.14

2.85	0.485
0.485	2.51

2.4	0.15
0.15	2.12

2.18	0.32
0.32	2.04

2.9	0.715
0.715	2.48

2.33	0.63
0.63	2.11

2.78	0.31
0.31	2.4

2.09	0.535
0.535	2.95

2.57	0.14
0.14	2.35

2.82	0.025
0.025	2.16

2.64	0.685
0.685	2.45

2.54	0.515
0.515	2.18

2.68	0.27
0.27	2.62

2.78	0.5
0.5	2.77

2.48	0.435
0.435	2.3

2.5	0.66
0.66	2.79

2.64	0.59
0.59	2.53

2.35	0.9
0.9	2.55

2.62	0.39
0.39	2.3

2.47	0.535
0.535	2.19

2.22	0.195
0.195	2.43

2.31	0.675
0.675	2.18

2.9	0.7
0.7	2.11

2.25	0.495
0.495	2.26

2.6	0.465
0.465	2.11

2.29	0.365
0.365	2.5

2.08	0.53
0.53	2.02

2.92	0.605
0.605	2.57

2.23	0.705
0.705	2.54

2.52	0.355
0.355	2.62

2.67	0.375
0.375	2.98

2.03	0.895
0.895	2.79

2.09	0.295
0.295	2.67

2.13	0.41
0.41	2.65

2.49	0.74
0.74	2.9

2.89	0.51
0.51	2.19

2.03	0.62
0.62	2.47

2.9	0.605
0.605	2.85

2.8	0.375
0.375	2.23

2.88	0.25
0.25	2.16

2.97	0.605
0.605	2.47

2.05	0.36
0.36	2.07

2.52	0.45
0.45	2.81

2.72	0.395
0.395	2.51

2.97	0.72
0.72	2.45

2.43	0.45
0.45	2.13

2.17	0.61
0.61	2.8

2.06	0.455
0.455	2.41

2.65	0.455
0.455	2.43

2.01	0.57
0.57	2.1

2.37	0.335
0.335	2.33

2.95	0.485
0.485	2.73

2.26	0.48
0.48	2.94

2.41	0.64
0.64	2.7

2.66	0.61
0.61	2.66

2.17	0.555
0.555	2.17

2.03	0.72
0.72	2.66

2.19	0.41
0.41	2.98

2.15	0.745
0.745	2.37

2.19	0.45
0.45	2.12

2.58	0.3
0.3	2.58

2.25	0.45
0.45	2.26

2.82	0.855
0.855	2.34

2.58	0.5
0.5	2.87

2.81	0.425
0.425	2.02

2.42	0.235
0.235	2.17

2.42	0.34
0.34	2.47

2.69	0.66
0.66	2.03

2.06	0.42
0.42	2.65

2.4	0.76
0.76	2.96

2.53	0.21
0.21	2.61

2.77	0.255
0.255	2.26

2.15	0.36
0.36	2.52

2.45	0.69
0.69	2.94

2.63	0.595
0.595	2.67

2.28	0.68
0.68	2.06

2.25	0.44
0.44	2.84

2.34	0.725
0.725	2

2.6	0.645
0.645	2

2.46	0.44
0.44	2.77

2.32	0.625
0.625	2.03

2.17	0.595
0.595	2.15

2.34	0.395
0.395	2.73

2.24	0.585
0.585	2.76

2.18	0.185
0.185	2.57

2.68	0.48
0.48	2.64

2.64	0.65
0.65	2.94

2.2	0.465
0.465	2.11

2.6	0.45
0.45	2.66

2.77	0.505
0.505	2.41

2.84	0.54
0.54	2.61

2.58	0.7
0.7	2.26

2.31	0.52
0.52	2.64

2.47	0.585
0.585	2.64

2.54	0.62
0.62	2.99

2.21	0.1
0.1	2.06

2.4	0.4
0.4	2.76

2.62	0.85
0.85	2.97

2.19	0.41
