256
4

4.81	0.765	0.535	0.93
0.765	4.09	0.615	0.51
0.535	0.615	4.15	0.885
0.93	0.51	0.885	4.14

4.42	0.78	0.73	0.8
0.78	4.03	0.795	0.55
0.73	0.795	4.74	0.545
0.8	0.55	0.545	4.03

4.27	0.365	0.26	0.5
0.365	4.31	0.665	0.255
0.26	0.665	4.76	0.615
0.5	0.255	0.615	4.64

4.7	0.7	0.61	0.71
0.7	4.16	0.225	0.37
0.61	0.225	4.58	0.36
0.71	0.37	0.36	4.69

4.89	0.545	0.675	0.16
0.545	4.25	0.54	0.25
0.675	0.54	4.92	0.475
0.16	0.25	0.475	4.47

4.35	0.87	0.48	0.535
0.87	4.28	0.655	0.76
0.48	0.655	4.07	0.49
0.535	0.76	0.49	4.12

4.56	0.31	0.085	0.505
0.31	4.79	0.455	0.63
0.085	0.455	4.26	0.55
0.505	0.63	0.55	4.08

4.22	0.72	0.125	0.815
0.72	4.99	0.515	0.65
0.125	0.515	4	0.425
0.815	0.65	0.425	4.39

4.25	0.49	0.645	0.88
0.49	4.26	0.355	0.375
0.645	0.355	4.54	0.245
0.88	0.375	0.245	4.51

4.4	0.125	0.565	0.225
0.125	4.23	0.675	0.47
0.565	0.675	4.49	0.42
0.225	0.47	0.42	4.11

4.78	0.235	0.405	0.61
0.235	4.13	0.495	0.48
0.405	0.495	4.23	0.195
0.61	0.48	0.195	4.16

4.64	0.635	0.66	0.615
0.635	4.29	0.46	0.13
0.66	0.46	4.36	0.77
0.615	0.13	0.77	4.77

4.48	0.465	0.54	0.325
0.465	4.51	0.59	0.86
0.54	0.59	4.81	0.7
0.325	0.86	0.7	4.55

4.62	0.525	0.21	0.305
0.525	4.23	0.505	0.555
0.21	0.505	4.22	0.43
0.305	0.555	0.43	4.18

4.9	0.61	0.515	0.2
0.61	4.4	0.65	0.285
0.515	0.65	4.22	0.265
0.2	0.285	0.265	4.5

4.08	0.59	0.515	0.27
0.59	4.73	0.465	0.4
0.515	0.465	4.96	0.51
0.27	0.4	0.51	4.62

4.67	0.21	0.225	0.555
0.21	4.88	0.585	0.755
0.225	0.585	4.33	0.385
0.555	0.755	0.385	4.65

4.49	0.83	0.37	0.9
0.83	4.33	0.715	0.395
0.37	0.715	4.5	0.54
0.9	0.395	0.54	4.85

4.8	0.725	0.575	0.14
0.725	4.02	0.595	0.42
0.575	0.595	4.5	0.255
0.14	0.42	0.255	4.07

4.52	0.405	0.89	0.62
0.405	4.14	0.645	0.665
0.89	0.645	4.8	0.265
0.62	0.665	0.265	4.13

4.17	0.225	0.74	0.405
0.225	4.39	0.57	0.695
0.74	0.57	4.29	0.295
0.405	0.695	0.295	4.1

4.37	0.57	0.37	0.37
0.57	4.92	0.235	0.855
0.37	0.235	4.54	0.62
0.37	0.855	0.62	4.7

4.66	0.35	0.36	0.425
0.35	4.12	0.775	0.265
0.36	0.775	4.88	0.56
0.425	0.265	0.56	4.98

4.15	0.52	0.61	0.31
0.52	4.42	0.35	0.205
0.61	0.35	4.38	0.595
0.31	0.205	0.595	4.26

4.82	0.78	0.77	0.38
0.78	4.1	0.58	0.59
0.77	0.58	4.59	0.09
0.38	0.59	0.09	4.17

4.42	0.39	0.325	0.435
0.39	4.69	0.47	0.42
0.325	0.47	4.53	0.68
0.435	0.42	0.68	4.96

4.53	0.545	0.125	0.53
0.545	4.42	0.185	0.565
0.125	0.185	4.44	0.515
0.53	0.565	0.515	4.94

4.63	0.615	0.245	0.505
0.615	4.67	0.455	0.42
0.245	0.455	4.66	0.755
0.505	0.42	0.755	4

4.6	0.42	0.615	0.085
0.42	4.42	0.62	0.745
0.615	0.62	4.47	0.25
0.085	0.745	0.25	4.15

4.34	0.42	0.185	0.705
0.42	4.91	0.27	0.65
0.185	0.27	4.09	0.495
0.705	0.65	0.495	4.64

4.64	0.435	0.615	0.855
0.435	4.7	0.34	0.23
0.615	0.34	4.45	0.66
0.855	0.23	0.66	4.41

4.84	0.705	0.28	0.54
0.705	4.54	0.485	0.445
0.28	0.485	4.93	0.59
0.54	0.445	0.59	4.64

4.54	0.465	0.46	0.805
0.465	4.1	0.27	0.415
0.46	0.27	4.36	0.845
0.805	0.415	0.845	4.97

4.19	0.325	0.54	0.215
0.325	4.53	0.765	0.31
0.54	0.765	4.74	0.55
0.215	0.31	0.55	4.26

4.04	0.715	0.46	0.385
0.715	4.35	0.715	0.405
0.46	0.715	4.44	0.14
0.385	0.405	0.14	4.19

4.82	0.59	0.625	0.355
0.59	4.39	0.505	0.71
0.625	0.505	4.79	0.685
